dataset,label,accurcy,roc_auc
Yoga,1,0.49333333333333335,0.6122732964314863
Yoga,2,0.6453333333333333,0.6938698291886135
WormsTwoClass,1,0.6363636363636364,0.6577134986225897
WormsTwoClass,2,0.4805194805194805,0.3650137741046832
Wine,1,0.4074074074074074,0.35253772290809327
Wine,2,0.6111111111111112,0.7722908093278463
Wafer,-1,0.8976314081765088,0.8191239145326491
Wafer,1,0.9093121349772875,0.9119066077632707
TwoLeadECG,1,0.6540825285338016,0.8499676255665526
TwoLeadECG,2,0.5276558384547849,0.7960749853544229
Strawberry,1,0.8216216216216217,0.9079449961802903
Strawberry,2,0.3567567567567568,0.6215304303539597
SemgHandGenderCh2,1,0.4766666666666667,0.3996214896214896
SemgHandGenderCh2,2,0.38333333333333336,0.4930769230769231
BeetleFly,1,0.5,0.9400000000000001
BeetleFly,2,0.5,0.64
BirdChicken,1,0.5,0.75
BirdChicken,2,0.5,0.7100000000000001
Computers,1,0.508,0.48704000000000003
Computers,2,0.464,0.38304000000000005
DistalPhalanxOutlineCorrect,0,0.37318840579710144,0.40081015392924657
DistalPhalanxOutlineCorrect,1,0.4166666666666667,0.7156899810964084
Earthquakes,0,0.2589928057553957,0.38901098901098896
Earthquakes,1,0.4460431654676259,0.44532967032967036
ECG200,-1,0.68,0.6397569444444444
ECG200,1,0.46,0.8741319444444444
ECGFiveDays,1,0.6527293844367015,0.7004705272927414
ECGFiveDays,2,0.5447154471544715,0.7808540717877878
FordA,-1,0.5159090909090909,0.5210945884148093
FordA,1,0.5159090909090909,0.5578673542314418
FordB,-1,0.5049382716049383,0.557466358553494
FordB,1,0.49506172839506174,0.4703034589565207
HandOutlines,0,0.35945945945945945,0.28159005107705976
HandOutlines,1,0.35945945945945945,0.4920846419847086
ItalyPowerDemand,1,0.7308066083576288,0.971387340012391
ItalyPowerDemand,2,0.6666666666666666,0.8415914894903062
MiddlePhalanxOutlineCorrect,0,0.48109965635738833,0.5929156626506024
MiddlePhalanxOutlineCorrect,1,0.42955326460481097,0.7220240963855421
Chinatown,1,0.8717201166180758,0.9076305220883534
Chinatown,2,0.3819241982507289,0.9876100145261899
FreezerRegularTrain,1,0.6603508771929825,0.8457218836565098
FreezerRegularTrain,2,0.4957894736842105,0.6382928901200369
FreezerSmallTrain,1,0.6252631578947369,0.6505524161280394
FreezerSmallTrain,2,0.6975438596491228,0.7182842720837181
GunPointAgeSpan,1,0.6044303797468354,0.551121794871795
GunPointAgeSpan,2,0.4936708860759494,0.5907451923076923
GunPointMaleVersusFemale,1,0.19936708860759494,0.03393574297188755
GunPointMaleVersusFemale,2,0.4936708860759494,0.25289156626506026
GunPointOldVersusYoung,1,0.21904761904761905,0.014787878787878787
GunPointOldVersusYoung,2,0.8825396825396825,0.999919191919192
PowerCons,1,0.8277777777777777,0.9182716049382716
PowerCons,2,0.5222222222222223,0.47530864197530864
Coffee,0,0.8214285714285714,0.9384615384615385
Coffee,1,0.5714285714285714,0.8358974358974359
Ham,1,0.638095238095238,0.6633986928104576
Ham,2,0.5142857142857142,0.5602759622367465
Herring,1,0.59375,0.4817813765182186
Herring,2,0.515625,0.5242914979757085
Lightning2,-1,0.6721311475409836,0.7348484848484849
Lightning2,1,0.6557377049180327,0.6158008658008658
MoteStrain,1,0.46086261980830673,0.7696334809679697
MoteStrain,2,0.5415335463258786,0.7827305988831118
PhalangesOutlinesCorrect,0,0.6130536130536131,0.45002347794218706
PhalangesOutlinesCorrect,1,0.38694638694638694,0.7005646158779606
ProximalPhalanxOutlineCorrect,0,0.41924398625429554,0.48175660913261964
ProximalPhalanxOutlineCorrect,1,0.35738831615120276,0.7025344111863666
ShapeletSim,0,0.5,0.7645679012345679
ShapeletSim,1,0.5,0.9764197530864197
SonyAIBORobotSurface1,1,0.4292845257903494,0.6677401857753068
SonyAIBORobotSurface1,2,0.5956738768718802,0.9454991298845119
SonyAIBORobotSurface2,1,0.6243441762854145,0.6494595098313298
SonyAIBORobotSurface2,2,0.4910807974816369,0.8872146118721461
ToeSegmentation1,0,0.75,0.9395061728395061
ToeSegmentation1,1,0.5570175438596491,0.5101080246913581
ToeSegmentation2,0,0.7384615384615385,0.9430031446540881
ToeSegmentation2,1,0.7923076923076923,0.3934748427672956
HouseTwenty,1,0.29411764705882354,0.17739130434782613
HouseTwenty,2,0.46218487394957986,0.36869565217391304
