dataset,label,accurcy,roc_auc
Yoga,1,0.4623333333333333,0.4928245994842199
Yoga,2,0.5586666666666666,0.5332721925924404
WormsTwoClass,1,0.4935064935064935,0.528236914600551
WormsTwoClass,2,0.4805194805194805,0.3753443526170799
Wine,1,0.5,0.5281207133058985
Wine,2,0.5,0.2949245541838134
Wafer,-1,0.2034393251135626,0.7985347985347985
Wafer,1,0.9104477611940298,0.665016879350586
TwoLeadECG,1,0.5566286215978928,0.8715135818456511
TwoLeadECG,2,0.4995610184372256,0.5784509604415256
Strawberry,1,0.6432432432432432,0.8873503947033359
Strawberry,2,0.3567567567567568,0.4810287751464222
SemgHandGenderCh2,1,0.6366666666666667,0.47748473748473746
SemgHandGenderCh2,2,0.355,0.6541147741147741
BeetleFly,1,0.5,0.5700000000000001
BeetleFly,2,0.55,0.53
BirdChicken,1,0.55,0.6599999999999999
BirdChicken,2,0.5,0.69
Computers,1,0.588,0.67936
Computers,2,0.604,0.634112
DistalPhalanxOutlineCorrect,0,0.5869565217391305,0.4505536051849852
DistalPhalanxOutlineCorrect,1,0.4166666666666667,0.7633810423980556
Earthquakes,0,0.6762589928057554,0.48104395604395606
Earthquakes,1,0.7266187050359713,0.554120879120879
ECG200,-1,0.72,0.6501736111111112
ECG200,1,0.69,0.7057291666666667
ECGFiveDays,1,0.578397212543554,0.5317713841704258
ECGFiveDays,2,0.49709639953542395,0.8439058082061688
FordA,-1,0.5621212121212121,0.5861972290588038
FordA,1,0.48484848484848486,0.5246645479008822
FordB,-1,0.48518518518518516,0.5234224951069759
FordB,1,0.4925925925925926,0.48517459407715435
HandOutlines,0,0.35945945945945945,0.23267028330319472
HandOutlines,1,0.3891891891891892,0.6158751308651376
ItalyPowerDemand,1,0.6122448979591837,0.9218270698278858
ItalyPowerDemand,2,0.7152575315840622,0.8666832887559122
MiddlePhalanxOutlineCorrect,0,0.570446735395189,0.4853493975903614
MiddlePhalanxOutlineCorrect,1,0.42955326460481097,0.38380722891566266
Chinatown,1,0.7259475218658892,0.7155430231564557
Chinatown,2,0.37317784256559766,0.9524480902332735
FreezerRegularTrain,1,0.867719298245614,0.9966537396121884
FreezerRegularTrain,2,0.16842105263157894,0.09408679593721145
FreezerSmallTrain,1,0.5014035087719299,0.9207559248999694
FreezerSmallTrain,2,0.5,0.7399293321021853
GunPointAgeSpan,1,0.5063291139240507,0.4967948717948718
GunPointAgeSpan,2,0.5411392405063291,0.6496394230769231
GunPointMaleVersusFemale,1,0.5253164556962026,0.3
GunPointMaleVersusFemale,2,0.5981012658227848,0.39542168674698797
GunPointOldVersusYoung,1,0.9936507936507937,0.9999595959595959
GunPointOldVersusYoung,2,0.526984126984127,1.0
PowerCons,1,0.7166666666666667,0.9400000000000001
PowerCons,2,0.5333333333333333,0.5451851851851851
Coffee,0,0.4642857142857143,1.0
Coffee,1,0.5357142857142857,0.9794871794871796
Ham,1,0.44761904761904764,0.443355119825708
Ham,2,0.580952380952381,0.6713870733478577
Herring,1,0.53125,0.521255060728745
Herring,2,0.578125,0.5222672064777328
Lightning2,-1,0.5737704918032787,0.804112554112554
Lightning2,1,0.639344262295082,0.7218614718614719
MoteStrain,1,0.4960063897763578,0.7742627896527376
MoteStrain,2,0.5407348242811502,0.8263945054239682
PhalangesOutlinesCorrect,0,0.38461538461538464,0.43843625452379864
PhalangesOutlinesCorrect,1,0.38694638694638694,0.6144750103073893
ProximalPhalanxOutlineCorrect,0,0.6838487972508591,0.5666921564343456
ProximalPhalanxOutlineCorrect,1,0.3161512027491409,0.6718920690408565
ShapeletSim,0,0.5,0.8599999999999999
ShapeletSim,1,0.5111111111111111,1.0
SonyAIBORobotSurface1,1,0.4292845257903494,0.5093904671503152
SonyAIBORobotSurface1,2,0.6871880199667221,0.9571609374646869
SonyAIBORobotSurface2,1,0.6180482686253935,0.6321638244338832
SonyAIBORobotSurface2,2,0.41867785939139557,0.6428664616531545
ToeSegmentation1,0,0.5745614035087719,0.9179012345679013
ToeSegmentation1,1,0.5131578947368421,0.2351851851851852
ToeSegmentation2,0,0.2923076923076923,0.904874213836478
ToeSegmentation2,1,0.823076923076923,0.43160377358490565
HouseTwenty,1,0.5546218487394958,0.3933333333333333
HouseTwenty,2,0.5798319327731093,0.26521739130434785
